name;ring;quadrant;inNew;description
DDD;adopt;Architecture patterns;;
Event-Driven-Architecture;adopt;Architecture patterns;;
IaC;adopt;Architecture patterns;;
Anti Corruption Layer;adopt;Architecture patterns;;
Cloud Native;adopt;Architecture patterns;;
Apache Kafka;adopt;Platforms;;
Keycloak;adopt;Platforms;;
Greenplum;adopt;Platforms;;
Airflow;adopt;Platforms;;
PostgreSQL;adopt;Platforms;;
Kubernetes;adopt;Platforms;;
OpenTofu;adopt;Tools;;
Kafka Connect;adopt;Tools;;
Confluent Schema Registry;adopt;Tools;;
Prometheus;adopt;Tools;;
Grafana;adopt;Tools;;
OpenTelemetry;adopt;Tools;;
Grafana Tempo;adopt;Tools;;
Go;adopt;Languages and frameworks;;
Java;adopt;Languages and frameworks;;
Kotlin;adopt;Languages and frameworks;;
Python;adopt;Languages and frameworks;;
CQRS;assess;Architecture patterns;;
Data Mesh;trial;Architecture patterns;;
Self-service BI;trial;Architecture patterns;;
Cloud Services;trial;Platforms;;
AI/ML Platforms;trial;Platforms;;
Rust;trial;Languages and frameworks;;
Batch ETL;hold;Architecture patterns;;
ESB;hold;Architecture patterns;;
MS SQL Server;hold;Platforms;;
Apache Camel;hold;Platforms;;
Terraform;hold;Tools;;
Powerbuilder;hold;Tools;;
Power BI;hold;Tools;;
.Net;hold;Languages and frameworks;;
ASP;hold;Languages and frameworks;;
C#;hold;Languages and frameworks;;
